CIFDB_ACCT_ID,MRCHNT_DBA_NM,TRAN_DATE,TRAN_POST_DATE,TRAN_CD,TRAN_CAT_CD,TRANS_FRAUD_FLAG,TRAN_AMT,INCHG_FEE,DBR_CD_ID,MRCHNT_CITY_NM,MRCHNT_STATE_CD,Status,Description,CIFDB_ACCNT_ID,ELCTRNC_PYMT_VALUE
5565128,"Tucker, Bishop and Logan",01/11/2025,04/28/2025,108,19,N,6072.72,93.24,C,Lake Mark,NC,Successful,"Tucker, Bishop and Logan transaction of $6072.72 was successful.",7958732,Y
6791039,Wong-Holland,01/19/2025,05/01/2025,374,19,N,6783.79,134.51,,Jonesville,MD,Returned,Wong-Holland transaction of $6783.79 was returned.,1265234,N
1761976,Cisneros-Johnson,02/05/2025,12/19/2024,108,19,Y,81.83,1.03,C,Andreamouth,WY,Successful,Cisneros-Johnson transaction of $81.83 was successful.,2205895,Y
5286905,Johnson LLC,03/12/2025,05/19/2025,108,19,Y,82.26,1.95,C,South Karen,NE,Successful,Johnson LLC transaction of $82.26 was successful.,4152438,N
7378822,Hill Inc,03/04/2025,04/14/2025,374,19,N,725.39,19.25,C,Tammyfurt,NV,Returned,Hill Inc transaction of $725.39 was returned.,3099155,N
1314430,Lowery LLC,04/01/2025,02/21/2025,374,19,N,5759.71,111.36,,South Hannah,MS,Returned,Lowery LLC transaction of $5759.71 was returned.,7325043,N
5857259,"Harris, King and Orozco",04/02/2025,02/15/2025,374,19,Y,9662.17,89.83,,New Brandyfort,CA,Returned,"Harris, King and Orozco transaction of $9662.17 was returned.",5685306,N
7070880,Johnson Ltd,04/06/2025,05/25/2025,108,19,Y,2436.95,48.06,,East Eric,CO,Successful,Johnson Ltd transaction of $2436.95 was successful.,6764510,N
7639863,"Williams, Cruz and Charles",01/16/2025,04/18/2025,108,19,Y,3334.02,30.68,,Alexfurt,TX,Successful,"Williams, Cruz and Charles transaction of $3334.02 was successful.",7754879,N
9902071,"Johnson, Morales and Clark",03/18/2025,03/15/2025,108,19,N,3514.24,101.76,,Youngmouth,SD,Successful,"Johnson, Morales and Clark transaction of $3514.24 was successful.",1805491,Y
4963933,"Hernandez, Adkins and Martin",01/06/2025,01/14/2025,108,19,N,1976.73,39.65,,East David,DC,Successful,"Hernandez, Adkins and Martin transaction of $1976.73 was successful.",2076959,Y
3972018,"Ayers, Carey and Berry",12/23/2024,05/01/2025,374,19,N,7545.69,181.07,D,Tiffanyland,SD,Returned,"Ayers, Carey and Berry transaction of $7545.69 was returned.",1539515,N
6303930,Foley-Myers,03/01/2025,02/18/2025,108,19,Y,4691.87,97.52,D,Collinsburgh,MI,Successful,Foley-Myers transaction of $4691.87 was successful.,1432634,Y
6904610,"Lopez, Brown and Logan",01/26/2025,01/22/2025,374,19,N,4620.12,27.44,D,Francoshire,NH,Returned,"Lopez, Brown and Logan transaction of $4620.12 was returned.",8149463,N
2287332,Bruce Inc,03/10/2025,05/20/2025,108,19,N,4629.8,87.31,,Port Mathewfurt,SC,Successful,Bruce Inc transaction of $4629.8 was successful.,8207068,Y
8545279,"Shea, Patterson and Caldwell",01/27/2025,04/16/2025,374,19,N,6052.03,106.12,C,Port Dwayne,PA,Returned,"Shea, Patterson and Caldwell transaction of $6052.03 was returned.",6972951,N
2736473,"Rodriguez, Smith and Cooke",01/08/2025,02/16/2025,108,19,Y,396.23,8.99,D,South Davidmouth,WI,Successful,"Rodriguez, Smith and Cooke transaction of $396.23 was successful.",1891329,Y
7105194,"Aguilar, Horton and Smith",01/20/2025,04/16/2025,108,19,N,4090.65,55.06,,East Scottstad,OK,Successful,"Aguilar, Horton and Smith transaction of $4090.65 was successful.",6700682,N
6614484,Ellis Ltd,01/02/2025,05/06/2025,108,19,Y,5581.84,81.85,D,Holmeshaven,NE,Successful,Ellis Ltd transaction of $5581.84 was successful.,2273941,N
6592886,Parsons-Ward,12/22/2024,02/09/2025,374,19,N,3105.77,66.47,,Candiceshire,WY,Returned,Parsons-Ward transaction of $3105.77 was returned.,2964738,N
3163449,"Lopez, Ward and Cooper",03/15/2025,05/04/2025,108,19,N,5591.43,117.91,D,Hickston,MS,Successful,"Lopez, Ward and Cooper transaction of $5591.43 was successful.",6529015,Y
9831414,Wallace-Harvey,04/08/2025,03/11/2025,374,19,N,187.21,2.38,C,South Mary,IA,Returned,Wallace-Harvey transaction of $187.21 was returned.,1555563,N
9158272,Cannon-Brown,02/05/2025,01/03/2025,108,19,Y,1553.68,19.26,C,Hunterfort,WY,Successful,Cannon-Brown transaction of $1553.68 was successful.,6815518,N
6649968,Romero-Thomas,05/21/2025,05/10/2025,108,19,N,1546.76,14.73,,Carlosbury,SC,Successful,Romero-Thomas transaction of $1546.76 was successful.,5707211,Y
8342941,Reynolds Inc,03/31/2025,04/30/2025,374,19,N,6765.25,74.0,D,Jessicamouth,IN,Returned,Reynolds Inc transaction of $6765.25 was returned.,8697411,N
8531761,"Whitehead, Ruiz and Harris",01/04/2025,12/05/2024,374,19,N,9656.14,237.63,C,Mariostad,MA,Returned,"Whitehead, Ruiz and Harris transaction of $9656.14 was returned.",2894008,N
8391997,"Shah, Cross and Kelly",04/09/2025,03/28/2025,108,19,N,5031.55,77.82,C,Kelleymouth,AZ,Successful,"Shah, Cross and Kelly transaction of $5031.55 was successful.",9065803,N
3321942,Mitchell Inc,03/01/2025,04/11/2025,108,19,N,8741.8,164.9,C,South Nicole,AR,Successful,Mitchell Inc transaction of $8741.8 was successful.,8795778,N
5782563,"Vaughn, Evans and Thomas",05/11/2025,01/01/2025,108,19,N,4495.95,80.18,D,Kevinberg,SC,Successful,"Vaughn, Evans and Thomas transaction of $4495.95 was successful.",4179127,Y
4725179,"Richardson, Ramirez and Williams",05/28/2025,04/20/2025,108,19,Y,4151.89,61.91,D,Levyland,OK,Successful,"Richardson, Ramirez and Williams transaction of $4151.89 was successful.",6679611,N
7478792,Wolf-Davidson,01/10/2025,01/27/2025,374,19,Y,286.73,8.11,,Smithchester,TX,Returned,Wolf-Davidson transaction of $286.73 was returned.,6620161,N
3450300,"Roberts, Garza and Carlson",03/21/2025,03/23/2025,374,19,N,9174.37,154.23,C,West Amy,OK,Returned,"Roberts, Garza and Carlson transaction of $9174.37 was returned.",5362157,N
8526283,"Hanson, Greer and Young",02/12/2025,04/05/2025,374,19,Y,194.94,2.03,C,Lake Kevinview,VT,Returned,"Hanson, Greer and Young transaction of $194.94 was returned.",5731240,N
2865405,Howe-Campos,01/30/2025,02/25/2025,374,19,N,1222.87,13.4,,West Matthewstad,IL,Returned,Howe-Campos transaction of $1222.87 was returned.,8510673,N
2053729,Clark and Sons,04/28/2025,05/25/2025,108,19,Y,6321.39,122.48,,Lake Courtneyshire,GA,Successful,Clark and Sons transaction of $6321.39 was successful.,7065456,N
5886733,White Ltd,05/18/2025,01/29/2025,108,19,N,2409.44,37.14,,West Monicamouth,VA,Successful,White Ltd transaction of $2409.44 was successful.,4120744,N
9782613,Howard PLC,03/11/2025,01/19/2025,374,19,Y,3907.59,65.47,,Stephaniebury,WA,Returned,Howard PLC transaction of $3907.59 was returned.,1585593,N
7262974,"Woodward, Chang and Cowan",02/14/2025,04/19/2025,108,19,N,7886.26,107.41,,North Jennifer,HI,Successful,"Woodward, Chang and Cowan transaction of $7886.26 was successful.",8891461,Y
6578736,"Moore, Robinson and Mcgee",01/17/2025,01/30/2025,374,19,N,5462.41,138.41,C,North Erinbury,KY,Returned,"Moore, Robinson and Mcgee transaction of $5462.41 was returned.",7756945,N
9028420,Johnson-Huffman,12/22/2024,03/19/2025,108,19,Y,635.69,15.51,D,East Kristineland,MN,Successful,Johnson-Huffman transaction of $635.69 was successful.,2528282,N
5923149,"Hunt, Moore and Vasquez",12/25/2024,12/05/2024,374,19,Y,8858.47,114.18,D,South Michaelport,IL,Returned,"Hunt, Moore and Vasquez transaction of $8858.47 was returned.",9027577,N
8942330,Clark Group,01/17/2025,04/13/2025,374,19,Y,2864.68,76.07,C,Omarton,NM,Returned,Clark Group transaction of $2864.68 was returned.,7717464,N
5583814,Campbell-Woods,03/08/2025,03/20/2025,374,19,N,8895.42,209.78,D,Brownland,OR,Returned,Campbell-Woods transaction of $8895.42 was returned.,4700961,N
4134272,"Friedman, Gray and Martin",03/25/2025,05/08/2025,374,19,N,9243.48,166.22,C,Manntown,OK,Returned,"Friedman, Gray and Martin transaction of $9243.48 was returned.",8754862,N
2324175,"Nicholson, Walker and Mendoza",03/03/2025,03/30/2025,374,19,N,3215.51,22.51,,North Lindaland,NH,Returned,"Nicholson, Walker and Mendoza transaction of $3215.51 was returned.",9432379,N
6142147,Escobar Ltd,01/07/2025,05/08/2025,374,19,Y,6899.2,95.13,C,Jonathanland,FL,Returned,Escobar Ltd transaction of $6899.2 was returned.,7681732,N
8297090,"Arroyo, Green and Johnson",02/20/2025,01/08/2025,108,19,Y,6713.48,101.74,,Lake Ambermouth,VA,Successful,"Arroyo, Green and Johnson transaction of $6713.48 was successful.",3214850,Y
1522452,Miller-Lowery,04/24/2025,05/26/2025,374,19,Y,1266.67,13.81,,East Andreahaven,NY,Returned,Miller-Lowery transaction of $1266.67 was returned.,5582150,N
7075878,Garza-Williams,03/18/2025,03/16/2025,374,19,Y,6792.23,195.08,D,North Ericport,SD,Returned,Garza-Williams transaction of $6792.23 was returned.,5428339,N
2289923,Ponce Ltd,04/17/2025,12/13/2024,108,19,N,3983.35,84.6,C,Williamtown,OK,Successful,Ponce Ltd transaction of $3983.35 was successful.,8112095,Y
1434753,Roberts Group,03/29/2025,02/02/2025,374,19,N,9135.86,72.58,D,Jeffreyville,UT,Returned,Roberts Group transaction of $9135.86 was returned.,6208748,N
4599894,Vang Inc,01/04/2025,03/28/2025,374,19,N,2005.78,16.83,C,Nicholasstad,OH,Returned,Vang Inc transaction of $2005.78 was returned.,3224145,N
3896693,"Buchanan, Rodriguez and Olson",03/23/2025,03/12/2025,374,19,N,6680.06,151.89,,North Aaronmouth,CA,Returned,"Buchanan, Rodriguez and Olson transaction of $6680.06 was returned.",4539170,N
6032437,"Torres, Martin and Jenkins",02/02/2025,12/19/2024,108,19,N,5090.01,40.89,C,Pattersonshire,AR,Successful,"Torres, Martin and Jenkins transaction of $5090.01 was successful.",3937909,N
4971774,Yang Inc,03/23/2025,12/15/2024,108,19,N,5542.44,78.83,,South Michele,IN,Successful,Yang Inc transaction of $5542.44 was successful.,5971272,N
2446455,Schroeder-Erickson,03/15/2025,03/19/2025,374,19,N,9995.95,229.62,,Leslieton,AZ,Returned,Schroeder-Erickson transaction of $9995.95 was returned.,7770471,N
7869154,Thompson Group,04/04/2025,01/30/2025,374,19,Y,9723.94,204.77,D,South Thomas,MT,Returned,Thompson Group transaction of $9723.94 was returned.,9873239,N
9679860,"Bennett, Wade and George",04/12/2025,05/08/2025,108,19,Y,7678.98,63.17,,Rodriguezland,NH,Successful,"Bennett, Wade and George transaction of $7678.98 was successful.",7232502,Y
3083077,Gonzalez-Bailey,01/05/2025,03/21/2025,108,19,N,1650.75,21.57,,Elliottland,PA,Successful,Gonzalez-Bailey transaction of $1650.75 was successful.,3955374,Y
6805303,Martin-Brown,05/07/2025,12/12/2024,374,19,Y,2509.8,52.4,,North Richardchester,IN,Returned,Martin-Brown transaction of $2509.8 was returned.,1762259,N
3100009,Ibarra PLC,12/27/2024,02/09/2025,108,19,Y,5028.22,46.34,,New Jessica,IA,Successful,Ibarra PLC transaction of $5028.22 was successful.,8276050,N
3872269,"Mcfarland, Stevens and Frazier",05/12/2025,05/17/2025,374,19,Y,8253.24,47.12,C,Melissafurt,AZ,Returned,"Mcfarland, Stevens and Frazier transaction of $8253.24 was returned.",2022141,N
4536777,Carson PLC,03/30/2025,02/05/2025,374,19,Y,4982.89,103.04,D,Glenntown,MT,Returned,Carson PLC transaction of $4982.89 was returned.,1033411,N
9102469,"Patterson, Mcgee and Guzman",05/08/2025,04/21/2025,374,19,N,4538.17,100.82,C,Salazarberg,TX,Returned,"Patterson, Mcgee and Guzman transaction of $4538.17 was returned.",7872812,N
7972975,Moon-Page,12/08/2024,12/04/2024,374,19,Y,3405.22,29.26,,Kaylachester,MA,Returned,Moon-Page transaction of $3405.22 was returned.,7014107,N
6794356,"Abbott, Wilkerson and Williamson",12/08/2024,01/20/2025,374,19,N,5152.23,39.44,C,Paulberg,OH,Returned,"Abbott, Wilkerson and Williamson transaction of $5152.23 was returned.",1721906,N
3055576,Hudson-Morgan,12/09/2024,04/02/2025,374,19,Y,1413.07,8.85,D,East Robert,OK,Returned,Hudson-Morgan transaction of $1413.07 was returned.,7968091,N
5165284,"Gamble, Fleming and Sanchez",04/24/2025,04/22/2025,374,19,N,1902.39,17.09,,Kelseyland,MA,Returned,"Gamble, Fleming and Sanchez transaction of $1902.39 was returned.",8988638,N
9367799,Herring LLC,04/09/2025,12/28/2024,108,19,Y,905.04,13.42,D,New George,KS,Successful,Herring LLC transaction of $905.04 was successful.,9117728,N
4609524,Smith LLC,01/07/2025,04/21/2025,374,19,Y,510.15,8.86,,Novakhaven,KY,Returned,Smith LLC transaction of $510.15 was returned.,9363275,N
5794062,Rhodes and Sons,05/08/2025,03/26/2025,374,19,Y,4312.12,116.69,,New Jeremy,TX,Returned,Rhodes and Sons transaction of $4312.12 was returned.,7142319,N
7765480,Ramirez-Wallace,04/29/2025,01/30/2025,374,19,N,516.32,9.83,D,Fernandezmouth,FL,Returned,Ramirez-Wallace transaction of $516.32 was returned.,1609720,N
2233658,"Johnson, Harris and Beasley",12/21/2024,03/02/2025,108,19,N,8253.99,169.88,,New Jenniferfurt,SD,Successful,"Johnson, Harris and Beasley transaction of $8253.99 was successful.",6653663,N
3158613,Heath Group,02/23/2025,01/13/2025,108,19,N,7950.0,107.14,D,Port Felicia,OH,Successful,Heath Group transaction of $7950.0 was successful.,8419098,N
4339637,Williams Inc,03/18/2025,05/07/2025,374,19,Y,457.81,3.86,D,Taylorfort,NE,Returned,Williams Inc transaction of $457.81 was returned.,9638319,N
9712957,Vargas-Foster,12/15/2024,12/29/2024,374,19,Y,3283.02,66.73,C,West Nicholasstad,IN,Returned,Vargas-Foster transaction of $3283.02 was returned.,3674043,N
6020319,Fisher-Gomez,04/08/2025,01/18/2025,374,19,N,7088.85,88.57,C,Amyport,KY,Returned,Fisher-Gomez transaction of $7088.85 was returned.,9421058,N
6557278,Ross Ltd,02/09/2025,05/29/2025,108,19,N,5839.1,145.5,,North Sharon,AR,Successful,Ross Ltd transaction of $5839.1 was successful.,3626645,Y
8962302,Johnson and Sons,01/05/2025,05/08/2025,374,19,Y,5837.32,54.07,,East Williamburgh,IN,Returned,Johnson and Sons transaction of $5837.32 was returned.,4892131,N
3479264,Henderson Group,04/27/2025,12/30/2024,108,19,Y,5727.84,128.95,C,Riosmouth,MD,Successful,Henderson Group transaction of $5727.84 was successful.,8122974,Y
8399399,"Weaver, Myers and Maddox",04/17/2025,04/05/2025,374,19,Y,4132.54,41.73,,Courtneybury,MS,Returned,"Weaver, Myers and Maddox transaction of $4132.54 was returned.",4557343,N
2044906,Elliott Ltd,12/10/2024,01/23/2025,374,19,N,9981.24,169.27,D,West Richardbury,ND,Returned,Elliott Ltd transaction of $9981.24 was returned.,5534542,N
3905518,Mcclure-Holmes,04/07/2025,01/20/2025,374,19,N,6760.31,180.44,,Wilsonport,OK,Returned,Mcclure-Holmes transaction of $6760.31 was returned.,1011897,N
9123194,Fuller-Reese,12/23/2024,04/26/2025,374,19,N,5583.08,59.3,D,Davenportville,AK,Returned,Fuller-Reese transaction of $5583.08 was returned.,7420191,N
4477544,Miller-Watts,12/13/2024,12/24/2024,374,19,N,3491.29,98.95,,Lake Clinton,MD,Returned,Miller-Watts transaction of $3491.29 was returned.,1259894,N
5828304,Dorsey Group,03/13/2025,03/22/2025,374,19,N,8184.68,236.25,C,Lake Kirstenmouth,LA,Returned,Dorsey Group transaction of $8184.68 was returned.,7527967,N
1705758,"Taylor, Allen and Sanchez",12/19/2024,01/04/2025,374,19,N,9240.48,197.74,,Lake Sarah,IN,Returned,"Taylor, Allen and Sanchez transaction of $9240.48 was returned.",2862966,N
4590102,Newman-Smith,02/13/2025,01/24/2025,108,19,N,1377.04,28.08,,Turnerhaven,AZ,Successful,Newman-Smith transaction of $1377.04 was successful.,3618180,Y
5067770,Small Ltd,01/21/2025,03/20/2025,374,19,Y,529.65,8.12,,Port Jacqueline,VT,Returned,Small Ltd transaction of $529.65 was returned.,1183535,N
2686863,Brown Ltd,03/31/2025,05/01/2025,374,19,Y,9645.37,284.03,C,Lake Scott,KY,Returned,Brown Ltd transaction of $9645.37 was returned.,8499575,N
8980915,"Parker, Parsons and Sellers",01/11/2025,05/10/2025,108,19,N,3215.07,67.99,C,South Courtney,ID,Successful,"Parker, Parsons and Sellers transaction of $3215.07 was successful.",1030486,Y
9978365,"Werner, Cabrera and Bishop",02/02/2025,02/12/2025,374,19,N,8823.04,82.89,C,Andrewshire,CA,Returned,"Werner, Cabrera and Bishop transaction of $8823.04 was returned.",6902613,N
9311162,Martin-Valenzuela,05/13/2025,02/16/2025,374,19,Y,97.63,1.87,C,Michaelbury,DC,Returned,Martin-Valenzuela transaction of $97.63 was returned.,1796219,N
5774152,Jones-Bell,04/08/2025,01/29/2025,108,19,Y,8511.34,142.14,C,Lake Ryanfurt,UT,Successful,Jones-Bell transaction of $8511.34 was successful.,6001396,Y
6547958,Marshall PLC,12/21/2024,05/25/2025,374,19,N,7187.39,38.47,D,Taylorchester,PA,Returned,Marshall PLC transaction of $7187.39 was returned.,8310576,N
4240708,Johnston-Newton,01/25/2025,04/10/2025,108,19,N,5155.23,36.95,,Harrischester,MA,Successful,Johnston-Newton transaction of $5155.23 was successful.,2972590,N
4100114,Powers-Lawrence,12/27/2024,02/09/2025,108,19,N,9358.57,48.39,D,East Taylor,ND,Successful,Powers-Lawrence transaction of $9358.57 was successful.,4552346,N
8494978,"Tran, Hodges and Johnson",12/02/2024,04/01/2025,374,19,N,5826.7,112.58,D,Gregoryville,WI,Returned,"Tran, Hodges and Johnson transaction of $5826.7 was returned.",9221606,N
4964499,Daniels-Taylor,03/18/2025,05/20/2025,374,19,N,3071.53,46.49,,North Ana,MN,Returned,Daniels-Taylor transaction of $3071.53 was returned.,6817474,N
2969909,Olsen-Case,02/13/2025,04/11/2025,374,19,N,6148.18,64.42,C,Nguyenmouth,LA,Returned,Olsen-Case transaction of $6148.18 was returned.,7316644,N
3570027,"Knight, Coleman and Clark",02/03/2025,01/19/2025,108,19,N,7020.9,195.32,,Michaelborough,AZ,Successful,"Knight, Coleman and Clark transaction of $7020.9 was successful.",6370562,Y
5151780,Smith-Mosley,01/15/2025,03/09/2025,108,19,N,5284.09,74.21,,Sullivanstad,MD,Successful,Smith-Mosley transaction of $5284.09 was successful.,4565841,N
2036128,Colon-Medina,03/08/2025,02/19/2025,108,19,Y,1649.55,43.49,D,New Brian,LA,Successful,Colon-Medina transaction of $1649.55 was successful.,2359145,N
4446065,Compton LLC,04/23/2025,04/06/2025,374,19,Y,8989.4,145.06,C,Martinezmouth,MT,Returned,Compton LLC transaction of $8989.4 was returned.,6387616,N
3213658,Jackson-Rivera,05/04/2025,05/14/2025,374,19,N,5641.29,107.01,,Blairland,CO,Returned,Jackson-Rivera transaction of $5641.29 was returned.,7567683,N
1365247,Schaefer Inc,02/08/2025,02/16/2025,374,19,Y,7459.32,145.14,C,Davisport,SD,Returned,Schaefer Inc transaction of $7459.32 was returned.,6533494,N
6780235,Ayala-Johnson,01/07/2025,12/16/2024,374,19,Y,9861.44,165.69,D,East Jennifershire,NY,Returned,Ayala-Johnson transaction of $9861.44 was returned.,1255429,N
4019585,Vang-Moore,04/18/2025,02/12/2025,374,19,N,9928.6,144.58,D,Pottsmouth,KS,Returned,Vang-Moore transaction of $9928.6 was returned.,9345700,N
2346371,Murray-Flores,03/16/2025,03/13/2025,108,19,N,1190.74,35.51,D,Petersonbury,KS,Successful,Murray-Flores transaction of $1190.74 was successful.,8599263,N
4736121,"Austin, Mann and Curtis",03/13/2025,03/11/2025,374,19,N,4632.72,106.45,D,South Danielville,TX,Returned,"Austin, Mann and Curtis transaction of $4632.72 was returned.",3208130,N
4853123,Torres Inc,01/21/2025,03/13/2025,108,19,N,1555.44,15.11,,Lake Michaelchester,HI,Successful,Torres Inc transaction of $1555.44 was successful.,8222023,N
1540516,"Potter, Santiago and Meyers",02/13/2025,05/30/2025,108,19,Y,2410.46,16.11,,Jonathonberg,NY,Successful,"Potter, Santiago and Meyers transaction of $2410.46 was successful.",1825287,Y
8490038,Khan PLC,04/22/2025,02/07/2025,108,19,Y,7406.71,111.52,C,Stevenmouth,VA,Successful,Khan PLC transaction of $7406.71 was successful.,8972446,N
1946973,Wood-Juarez,05/16/2025,05/23/2025,374,19,Y,8158.78,190.0,D,South Kristenhaven,IN,Returned,Wood-Juarez transaction of $8158.78 was returned.,6939927,N
4974590,Brown PLC,03/08/2025,01/17/2025,108,19,Y,4138.53,49.16,,South Christopher,NM,Successful,Brown PLC transaction of $4138.53 was successful.,3616789,N
8167236,Byrd Group,01/22/2025,12/10/2024,374,19,Y,9723.04,277.49,,Rossshire,NC,Returned,Byrd Group transaction of $9723.04 was returned.,2497698,N
9799030,Coleman-Clark,03/16/2025,02/16/2025,374,19,N,1496.43,21.57,,East Marilyn,MA,Returned,Coleman-Clark transaction of $1496.43 was returned.,8529237,N
5042775,"Gallegos, Smith and Smith",05/20/2025,04/14/2025,374,19,Y,8058.73,224.58,,Lake Seanberg,ID,Returned,"Gallegos, Smith and Smith transaction of $8058.73 was returned.",2855792,N
7987842,"Allen, Sutton and Cohen",02/15/2025,04/17/2025,108,19,N,2432.37,24.53,,Wareland,NY,Successful,"Allen, Sutton and Cohen transaction of $2432.37 was successful.",3911319,Y
8546170,Cortez Ltd,04/05/2025,04/27/2025,108,19,Y,520.11,7.5,,East Daleport,LA,Successful,Cortez Ltd transaction of $520.11 was successful.,4091438,Y
2221118,Anderson PLC,04/04/2025,04/06/2025,108,19,N,2092.85,57.92,D,Heatherbury,CO,Successful,Anderson PLC transaction of $2092.85 was successful.,2385704,N
4553544,Pierce PLC,01/01/2025,12/21/2024,108,19,N,9144.84,204.76,,Lake Nicole,AL,Successful,Pierce PLC transaction of $9144.84 was successful.,7857408,N
7654381,Mcknight PLC,05/05/2025,12/13/2024,374,19,N,3809.71,69.87,D,East Matthew,DC,Returned,Mcknight PLC transaction of $3809.71 was returned.,3604010,N
5388275,"Mason, Johnson and Mclean",01/10/2025,12/03/2024,374,19,N,990.59,29.26,D,Mariashire,ND,Returned,"Mason, Johnson and Mclean transaction of $990.59 was returned.",8090600,N
4407913,"Kirby, Hodges and Sloan",02/04/2025,04/04/2025,108,19,N,461.93,12.29,,New Raven,DE,Successful,"Kirby, Hodges and Sloan transaction of $461.93 was successful.",4348071,Y
1272124,Walker Ltd,03/29/2025,04/25/2025,108,19,N,1528.35,20.25,D,Lake Joelbury,MN,Successful,Walker Ltd transaction of $1528.35 was successful.,5122381,Y
9376888,Evans Group,04/23/2025,03/16/2025,374,19,N,7634.79,131.44,,Port Rebeccafort,IN,Returned,Evans Group transaction of $7634.79 was returned.,4646733,N
8731427,Hunt Group,02/15/2025,01/25/2025,108,19,Y,1403.89,26.2,C,North Christopher,NC,Successful,Hunt Group transaction of $1403.89 was successful.,4270497,Y
9790328,"Wong, Anthony and Graham",01/20/2025,04/26/2025,108,19,Y,7644.57,117.04,,West Samanthaview,OH,Successful,"Wong, Anthony and Graham transaction of $7644.57 was successful.",6267643,N
2140312,Howard PLC,04/23/2025,03/07/2025,374,19,Y,5059.8,72.51,,West Morgan,ND,Returned,Howard PLC transaction of $5059.8 was returned.,9658470,N
9184838,Branch-Bruce,05/21/2025,01/28/2025,374,19,N,123.45,2.25,D,Lopezshire,TN,Returned,Branch-Bruce transaction of $123.45 was returned.,3262463,N
1287605,Vasquez-Brown,05/24/2025,01/10/2025,108,19,Y,1074.63,7.96,C,Stephensmouth,KS,Successful,Vasquez-Brown transaction of $1074.63 was successful.,6300859,N
4220085,Knight PLC,04/11/2025,03/22/2025,374,19,N,2676.91,39.95,D,South Kimberlyland,SC,Returned,Knight PLC transaction of $2676.91 was returned.,4537186,N
8700704,Reed Ltd,04/29/2025,05/05/2025,108,19,Y,3003.25,77.19,C,Julianland,AK,Successful,Reed Ltd transaction of $3003.25 was successful.,7018962,Y
2568678,Smith PLC,04/12/2025,04/18/2025,108,19,N,5529.25,35.4,C,Lake Amyton,SD,Successful,Smith PLC transaction of $5529.25 was successful.,6737296,Y
2387242,Rogers Ltd,01/08/2025,05/18/2025,108,19,N,5660.74,149.72,C,Timothyport,WI,Successful,Rogers Ltd transaction of $5660.74 was successful.,8842325,Y
4854842,Martin Group,01/20/2025,02/08/2025,108,19,N,470.39,3.23,D,South Jennifer,CO,Successful,Martin Group transaction of $470.39 was successful.,2351228,Y
4009069,Mcintyre Ltd,12/10/2024,04/19/2025,374,19,Y,5872.43,139.8,,Richmondmouth,SD,Returned,Mcintyre Ltd transaction of $5872.43 was returned.,6899089,N
2290796,Ramos PLC,12/25/2024,01/30/2025,374,19,Y,5669.13,148.74,,Port Kimberlyshire,IL,Returned,Ramos PLC transaction of $5669.13 was returned.,5466322,N
7439870,Burch PLC,05/18/2025,01/02/2025,374,19,N,541.7,8.63,C,Adriennehaven,OH,Returned,Burch PLC transaction of $541.7 was returned.,3577272,N
7655572,Avila-Hall,01/19/2025,12/29/2024,374,19,N,7836.56,127.45,C,South Andrea,MI,Returned,Avila-Hall transaction of $7836.56 was returned.,3729468,N
